[2024-10-19 19:05:16,013][training.py][line:148][INFO] Epoch:[47/200]	 Best Acc=93.277	Loss: 0.520, Acc@1: 90.436, Acc@5: 99.716, cs_loss: 0.000, lr: 0.086
[2024-10-19 19:06:11,427][training.py][line:148][INFO] Epoch:[48/200]	 Best Acc=93.277	Loss: 0.611, Acc@1: 87.973, Acc@5: 99.148, cs_loss: 0.000, lr: 0.086
[2024-10-19 19:07:06,374][training.py][line:148][INFO] Epoch:[49/200]	 Best Acc=93.561	Loss: 0.372, Acc@1: 93.561, Acc@5: 99.811, cs_loss: 0.000, lr: 0.085
[2024-10-19 19:08:01,546][training.py][line:148][INFO] Epoch:[50/200]	 Best Acc=93.561	Loss: 0.475, Acc@1: 90.436, Acc@5: 99.527, cs_loss: 0.000, lr: 0.085
[2024-10-19 19:08:56,676][training.py][line:148][INFO] Epoch:[51/200]	 Best Acc=93.750	Loss: 0.359, Acc@1: 93.750, Acc@5: 99.716, cs_loss: 0.000, lr: 0.084
[2024-10-19 19:09:51,756][training.py][line:148][INFO] Epoch:[52/200]	 Best Acc=93.750	Loss: 0.500, Acc@1: 90.057, Acc@5: 99.621, cs_loss: 0.000, lr: 0.084
[2024-10-19 19:10:46,413][training.py][line:148][INFO] Epoch:[53/200]	 Best Acc=93.750	Loss: 0.585, Acc@1: 88.258, Acc@5: 99.716, cs_loss: 0.000, lr: 0.083
[2024-10-19 19:11:41,559][training.py][line:148][INFO] Epoch:[54/200]	 Best Acc=93.750	Loss: 0.496, Acc@1: 90.909, Acc@5: 99.621, cs_loss: 0.000, lr: 0.082
[2024-10-19 19:12:36,530][training.py][line:148][INFO] Epoch:[55/200]	 Best Acc=93.750	Loss: 0.599, Acc@1: 88.068, Acc@5: 99.527, cs_loss: 0.000, lr: 0.082
[2024-10-19 19:13:31,466][training.py][line:148][INFO] Epoch:[56/200]	 Best Acc=93.750	Loss: 0.660, Acc@1: 87.595, Acc@5: 98.674, cs_loss: 0.000, lr: 0.081
[2024-10-19 19:14:25,738][training.py][line:148][INFO] Epoch:[57/200]	 Best Acc=93.750	Loss: 0.405, Acc@1: 92.330, Acc@5: 100.000, cs_loss: 0.000, lr: 0.081
[2024-10-19 19:15:20,013][training.py][line:148][INFO] Epoch:[58/200]	 Best Acc=93.750	Loss: 0.596, Acc@1: 88.731, Acc@5: 98.958, cs_loss: 0.000, lr: 0.080
[2024-10-19 19:16:14,827][training.py][line:148][INFO] Epoch:[59/200]	 Best Acc=93.750	Loss: 0.514, Acc@1: 89.773, Acc@5: 100.000, cs_loss: 0.000, lr: 0.079
[2024-10-19 19:17:10,371][training.py][line:148][INFO] Epoch:[60/200]	 Best Acc=93.750	Loss: 0.453, Acc@1: 92.330, Acc@5: 99.811, cs_loss: 0.000, lr: 0.079
[2024-10-19 19:18:09,020][training.py][line:148][INFO] Epoch:[61/200]	 Best Acc=93.750	Loss: 0.845, Acc@1: 83.523, Acc@5: 99.621, cs_loss: 0.000, lr: 0.078
[2024-10-19 19:19:18,094][training.py][line:148][INFO] Epoch:[62/200]	 Best Acc=93.750	Loss: 0.599, Acc@1: 89.962, Acc@5: 99.148, cs_loss: 0.000, lr: 0.077
[2024-10-19 19:20:14,184][training.py][line:148][INFO] Epoch:[63/200]	 Best Acc=93.750	Loss: 0.421, Acc@1: 92.614, Acc@5: 99.716, cs_loss: 0.000, lr: 0.077
[2024-10-19 19:21:09,286][training.py][line:148][INFO] Epoch:[64/200]	 Best Acc=93.750	Loss: 0.534, Acc@1: 89.489, Acc@5: 99.905, cs_loss: 0.000, lr: 0.076
[2024-10-19 19:22:03,928][training.py][line:148][INFO] Epoch:[65/200]	 Best Acc=93.750	Loss: 0.622, Acc@1: 87.879, Acc@5: 99.337, cs_loss: 0.000, lr: 0.075
[2024-10-19 19:22:59,573][training.py][line:148][INFO] Epoch:[66/200]	 Best Acc=93.750	Loss: 0.509, Acc@1: 90.625, Acc@5: 99.621, cs_loss: 0.000, lr: 0.075
[2024-10-19 19:23:55,135][training.py][line:148][INFO] Epoch:[67/200]	 Best Acc=93.750	Loss: 0.416, Acc@1: 91.856, Acc@5: 99.811, cs_loss: 0.000, lr: 0.074
[2024-10-19 19:24:50,125][training.py][line:148][INFO] Epoch:[68/200]	 Best Acc=93.750	Loss: 0.531, Acc@1: 90.152, Acc@5: 99.337, cs_loss: 0.000, lr: 0.073
[2024-10-19 19:25:45,587][training.py][line:148][INFO] Epoch:[69/200]	 Best Acc=93.750	Loss: 0.760, Acc@1: 82.481, Acc@5: 100.000, cs_loss: 0.000, lr: 0.073
[2024-10-19 19:26:41,074][training.py][line:148][INFO] Epoch:[70/200]	 Best Acc=93.939	Loss: 0.378, Acc@1: 93.939, Acc@5: 100.000, cs_loss: 0.000, lr: 0.072
[2024-10-19 19:27:36,203][training.py][line:148][INFO] Epoch:[71/200]	 Best Acc=93.939	Loss: 0.531, Acc@1: 88.731, Acc@5: 99.527, cs_loss: 0.000, lr: 0.071
[2024-10-19 19:28:30,906][training.py][line:148][INFO] Epoch:[72/200]	 Best Acc=93.939	Loss: 0.572, Acc@1: 89.015, Acc@5: 99.527, cs_loss: 0.000, lr: 0.071
[2024-10-19 19:29:26,612][training.py][line:148][INFO] Epoch:[73/200]	 Best Acc=93.939	Loss: 0.445, Acc@1: 91.193, Acc@5: 99.905, cs_loss: 0.000, lr: 0.070
[2024-10-19 19:30:21,933][training.py][line:148][INFO] Epoch:[74/200]	 Best Acc=93.939	Loss: 0.586, Acc@1: 89.773, Acc@5: 99.527, cs_loss: 0.000, lr: 0.069
[2024-10-19 19:31:17,877][training.py][line:148][INFO] Epoch:[75/200]	 Best Acc=93.939	Loss: 0.546, Acc@1: 90.152, Acc@5: 99.148, cs_loss: 0.000, lr: 0.068
[2024-10-19 19:32:13,502][training.py][line:148][INFO] Epoch:[76/200]	 Best Acc=93.939	Loss: 0.430, Acc@1: 92.424, Acc@5: 99.716, cs_loss: 0.000, lr: 0.068
